Tweets,Name,data,location,favorite_count,verified,created_at,retweet_count
"For the first time since 2019, the Goalkeepers community is coming together in person. I’m excited to spend time with them and hear about their innovative work to drive progress. #Goalkeepers2030 https://t.co/u8QBxRnXeX",Bill Gates,2022-09-20 15:53:00+00:00,"Seattle, WA",1377,True,2009-06-24 18:44:10+00:00,151
"RT @JMDBarroso: Amidst backsliding on the #SDGs in the past two years, this interview with @BillGates is an optimistic reminder that the mo…",Bill Gates,2022-09-19 21:28:33+00:00,"Seattle, WA",0,True,2009-06-24 18:44:10+00:00,81
Congratulations on a phenomenal career. Time to celebrate! https://t.co/nrjRTFabtV,Bill Gates,2022-09-15 22:57:38+00:00,"Seattle, WA",3740,True,2009-06-24 18:44:10+00:00,373
You've been an incredible friend to me and an inspiration to an entire generation of tennis players. I'm lucky to have seen you work your magic on the court many times. And I'm excited to watch your philanthropic work grow in this next phase of your life. https://t.co/lAWC14Ho1B,Bill Gates,2022-09-15 22:56:22+00:00,"Seattle, WA",4625,True,2009-06-24 18:44:10+00:00,513
New ways to prevent and treat malaria are within reach. They’ll make it possible—with the right funding and commitment—to end malaria. https://t.co/RfsEYuzyCs,Bill Gates,2022-09-15 19:32:29+00:00,"Seattle, WA",744,True,2009-06-24 18:44:10+00:00,87
Providing aid to hungry communities is essential—but it’s not enough to end food insecurity. We also need innovation to create self-sustaining food systems. https://t.co/F2HYyiXhYA,Bill Gates,2022-09-15 19:32:29+00:00,"Seattle, WA",833,True,2009-06-24 18:44:10+00:00,104
"Economic inequality is one of the biggest barriers to gender equality. True equality depends not only on a woman’s ability to access money, but also on her ability to fully control it. https://t.co/Bd5V1kTZAx",Bill Gates,2022-09-15 19:32:28+00:00,"Seattle, WA",295,True,2009-06-24 18:44:10+00:00,34
"Seven years ago, world leaders agreed to 17 ambitious goals to reduce inequality by 2030. The 2022 Goalkeepers report is an essential update on the progress. #Goalkeepers2030 https://t.co/LhoIfyZrxQ",Bill Gates,2022-09-15 19:32:28+00:00,"Seattle, WA",1405,True,2009-06-24 18:44:10+00:00,213
hint: it has the juice,Bill Gates,2022-09-14 15:54:48+00:00,"Seattle, WA",1959,True,2009-06-24 18:44:10+00:00,154
"Which crop that is highly sensitive to climate change accounts for around 30% of all the calories people in sub-Saharan Africa eat? 

You can find the answer here: https://t.co/LhoIfyZrxQ",Bill Gates,2022-09-14 15:54:35+00:00,"Seattle, WA",1380,True,2009-06-24 18:44:10+00:00,196
We are at a turning point in the world’s progress on some of the most fundamental challenges facing humanity. Here’s what world leaders need to do to ensure a better future. #Goalkeepers2030 https://t.co/LhoIfyZrxQ,Bill Gates,2022-09-13 21:41:41+00:00,"Seattle, WA",1651,True,2009-06-24 18:44:10+00:00,231
There are so many reasons to be hopeful. Innovations that reduce the burden of disease on children are just some of the many that keep me optimistic. https://t.co/jRSjceEhOb,Bill Gates,2022-09-12 21:06:52+00:00,"Seattle, WA",1816,True,2009-06-24 18:44:10+00:00,235
"This is great. New Jersey is setting a new standard by taking climate curriculum one step further – not just telling students what’s happening, but also asking them what the world can do about it. https://t.co/bwmjVKXbKn",Bill Gates,2022-09-12 17:20:31+00:00,"Seattle, WA",1812,True,2009-06-24 18:44:10+00:00,250
Pneumonia is the leading cause of death in children under 5. Inventprise is working to change that: https://t.co/jRSjceEhOb https://t.co/ePrWNxUC08,Bill Gates,2022-09-12 00:48:56+00:00,"Seattle, WA",2563,True,2009-06-24 18:44:10+00:00,308
"I feel honored to have met HM Queen Elizabeth, and I am very sad to hear of her passing. My deepest condolences to the Royal Family and the British people. https://t.co/fPbpAt5ILv",Bill Gates,2022-09-08 18:18:20+00:00,"Seattle, WA",13103,True,2009-06-24 18:44:10+00:00,951
"Germany is a leading voice in the fight against HIV, TB, and malaria. Once again, they're stepping up by increasing their pledge to the @GlobalFund. Germany's commitment to the #FightForWhatCounts will help save millions of lives. https://t.co/2VjMUuDZZC",Bill Gates,2022-09-08 16:14:57+00:00,"Seattle, WA",1681,True,2009-06-24 18:44:10+00:00,269
I love learning about the brain. Here’s cool research on the brain's GPS. https://t.co/xTfACQo6T8,Bill Gates,2022-09-07 16:47:20+00:00,"Seattle, WA",2641,True,2009-06-24 18:44:10+00:00,381
